words,taboo1,taboo2,taboo3
Flat,Kalibrasyon,Dark,Bias
Dark,Kalibrasyon,Flat,Bias
Bias,Kalibrasyon,Flat,Dark
İndirgeme,AstroImageJ,Maxim DL,C-Munipack
Maxim DL,Gözlem,Program,Bilgisayar
Tayf,T80,Fotometri,Spektroskopi
Merkür,Gezegen,En yakın,Güneş Sistemi
Venüs,En sıcak,Sera,Güzellik Tanrıçası
Dünya,Yaşam,Ev,Soluk Mavi Nokta
Mars,Elon Musk,Kızıl Gezegen,Phobos/Deimos
Jüpiter,Kırmızı leke,En büyük,Galileo Uyduları
Satürn,Gezegen,Halka,Titan
Uranüs,Buz,Gezegen,Neptün
T40,Tayf,Rasathane,Teleskop
T35,Fotometri,Rasathane,Teleskop
Odak Uzunluğu,CCD,Oran,Teleskop
Focuser,Odak,CCD,Netleştirmek
CCD,Kamera,Görüntü,Piksel
Filtre Tekeri,Renk,Bessel-BVRI,SDSS-ugriz
Mukayese Yıldızı,Gözlem,Referans,Parlaklık
Birinci Minimum,Işık Eğrisi,0 ya da 1,Evre
İkinci Mininum,Işık Eğrisi,0.5,Evre
Kırmızıya Kayma,Doppler Etkisi,Mavi,Uzaklık
Doppler Etkisi,Ambulans,Frekans,Ses
Kepler Yasaları,Elips,Eşit Zamanda Eşit Alanlar,a3/P2
Eylemsizlik,Newton,F=ma,Araba
Etki-Tepki,Newton,Kuvvet,Eşit
Büyütme Oranı,Teleskop,Odak Uzunluğu,Göz merceği
Görünür Parlaklık,Mutlak Parlaklık,Kadir,Yıldız
Mutlak Parlaklık,10 parsek,Görünür Parlaklık,Yıldız
Parsek,Uzaklık Birimi,Işık yılı,3.26 ışık yılı
Gelgit Etkisi,Ay,Deniz,Tedirginlik
Deimos,Uydu,Mars,Mitoloji
Phobos,Uydu,Mars,Mitoloji
Titan,Satürn,Uydu,Gezegen
Io,Uydu,Jüpiter,Volkanik
Europa,Hayat,Jüpiter,Galileo
Ganymede,Uydu,Jüpiter,En büyük
Callisto,Uydu,Jüpiter,En uzak
Anakol,HR Diyagramı,Güneş,Band
HR Diyagramı,Anakol,Işınım Gücü,Tayf Türü
Beyaz Cüce,Güneş,HR Diyagramı,Evrim
Nötron Yıldızı,Evrim,Pulsar,Yaşam
Karadelik,Yıldız,Interstellar,Olay Ufku
Süpernova,Kütle,Patlama,Yıldız
Kahverengi Cüce,Sönük,HR Diyagramı,Yıldız
Lagrange Noktası,Denge,Uydu,İki Cisim
Ötegezegen,Keşif,Güneş Sistemi,51 Pegasi
Eksantrisite,Basıklık,Yörünge,Elips
Yörünge Eğim Açısı,Örtme-Örtülme,Bakış Doğrultusu,Derece
Yarı-Büyük Eksen Uzunluğu,Elips,Yörünge,Büyüklük
Kuiper Kuşağı,Güneş Sistemi,Uranüs,En dış 
Güneş Tutulması,Ay,Dünya,Tarih
Işık Eğrisi,Akı,Zaman,Grafik
